user_id,book_id,user_rating
8906222,4,3
9098678,4,4
9303625,4,5
93149311,4,5
9684061,4,4
970632,4,2
1,5,5
10336538,5,4
10367112,5,4
104823,5,4
1053760,5,2
106692,5,4
10682103,5,2
111921,5,4
1151637,5,0
122647,5,5
13235258,5,4
1381728,5,3
1413439,5,5
14457130,5,3
14514998,5,4
1526851,5,5
16384209,5,4
1654645,5,4
18104163,5,3
186853,5,4
1964146,5,5
22819383,5,3
2294090,5,5
23133809,5,5
237469,5,4
24337665,5,3
25184600,5,4
25894509,5,4
2612079,5,4
27402361,5,4
279256,5,5
2913816,5,3
30222072,5,1
3030788,5,4
3078602,5,5
3081722,5,4
31000456,5,5
32532051,5,5
33273494,5,5
3571171,5,2
3672777,5,3
36817401,5,4
3849903,5,4
3920693,5,4
3977017,5,5
405390,5,5
4176715,5,5
4216480,5,4
4326315,5,3
4365117,5,3
44770518,5,4
4514828,5,4
4527753,5,4
4530043,5,5
45618,5,3
4685500,5,4
4717304,5,5
4851964,5,3
4866450,5,4
50448,5,4
5253785,5,5
52677643,5,4
5293536,5,4
5465462,5,3
5626931,5,3
5651679,5,3
5912889,5,3
6678151,5,5
6743601,5,4
68029956,5,5
68030,5,5
7668522,5,4
80115954,5,4
83582,5,5
870755,5,4
8734459,5,4
9303625,5,4
93149311,5,5
970632,5,5
1,6,5
14457130,6,2
1,7,5
1019021,7,5
10367112,7,4
104823,7,3
1053760,7,5
10553671,7,4
1072582,7,4
10915830,7,5
11183856,7,5
11284813,7,5
1162953,7,3
12221088,7,4
122647,7,3
13070326,7,5
1371882,7,4
1380067,7,5
1381728,7,5
141080755,7,5
1413439,7,4
14457130,7,5
152460399,7,3
1526851,7,5
1601382,7,5
1605591,7,4
16254355,7,5
1654645,7,5
16576124,7,4
16731747,7,5
16865002,7,5
1720620,7,5
1806073,7,4
18104163,7,5
186853,7,4
2164884,7,3
2225246,7,3
2294090,7,4
23133809,7,5
237469,7,4
24239256,7,5
24337665,7,4
25184600,7,3
251943,7,5
25388909,7,5
25683251,7,4
269235,7,5
279256,7,4
28798380,7,4
2933855,7,5
3030788,7,5
30604861,7,5
3073485,7,4
3081722,7,3
3089655,7,3
31000456,7,4
31880928,7,5
32532051,7,5
33674708,7,5
33939264,7,5
3427339,7,3
3472444,7,5
3672777,7,5
3734915,7,5
3977017,7,4
3990914,7,4
